Used_Hashtag(s),Tweet_Content,Post_Length,Likes_Count,Tweet_DateTime,Replies_Count,Retweets_Count,Image(s),video(s),GIF(s),HaveText,Tweet_URL,Reply_Content,Reply_URL
#zara,Shine bright like a diamond! https://t.co/u3d9zrVNfE #zara https://t.co/OrUVQHoGSb,82,44,2023-08-21 18:00:16+00:00,14,8,1,0,0,True,https://twitter.com/ZARA/status/1693684456404746453,"@Nonie_Ncobo Hello, please confirm your full name, the email associated with your purchase and the order number by sending a DM through our customer service account @ZARA_Care. Thank you.",https://twitter.com/ZARA/status/1694817570262589660
#zara,Shine bright like a diamond! https://t.co/u3d9zrVNfE #zara https://t.co/OrUVQHoGSb,82,44,2023-08-21 18:00:16+00:00,14,8,1,0,0,True,https://twitter.com/ZARA/status/1693684456404746453,@ZARA I haven’t received my parcel from you guys the courier company you used says they have been high jacked,https://twitter.com/Nonie_Ncobo/status/1694802441466765376
#zara,Shine bright like a diamond! https://t.co/u3d9zrVNfE #zara https://t.co/OrUVQHoGSb,82,44,2023-08-21 18:00:16+00:00,14,8,1,0,0,True,https://twitter.com/ZARA/status/1693684456404746453,"@EAltinbaak Hello, thank you for purchasing from ZARA. We are sorry to hear about your disappointment. Please DM us more details through our support account @Zara_Care so we can assist you further. Thank you.",https://twitter.com/ZARA/status/1694368334576333070
#zara,Shine bright like a diamond! https://t.co/u3d9zrVNfE #zara https://t.co/OrUVQHoGSb,82,44,2023-08-21 18:00:16+00:00,14,8,1,0,0,True,https://twitter.com/ZARA/status/1693684456404746453,@ZARA Zara Turkey cashier sucks.. you have to wait 30 min with only one person .. to buy a t shirt,https://twitter.com/EAltinbaak/status/1694364800422183090
#zara,Shine bright like a diamond! https://t.co/u3d9zrVNfE #zara https://t.co/OrUVQHoGSb,82,44,2023-08-21 18:00:16+00:00,14,8,1,0,0,True,https://twitter.com/ZARA/status/1693684456404746453,"@ZARA N’achetez pas sur leur site internet. Probleme de livraison depuis 6 mois et service client qui ne repond pas !

Don't buy from their website. Delivery problem for 6 months and customer service that does not respond!",https://twitter.com/unik_276/status/1694331241372193127
#zara,Shine bright like a diamond! https://t.co/u3d9zrVNfE #zara https://t.co/OrUVQHoGSb,82,44,2023-08-21 18:00:16+00:00,14,8,1,0,0,True,https://twitter.com/ZARA/status/1693684456404746453,@ZARA nice,https://twitter.com/SatishsinghBw/status/1694250018452980131
#zara,Shine bright like a diamond! https://t.co/u3d9zrVNfE #zara https://t.co/OrUVQHoGSb,82,44,2023-08-21 18:00:16+00:00,14,8,1,0,0,True,https://twitter.com/ZARA/status/1693684456404746453,"@ZARA I'm done with your customer service and Zara care. It's been 40 days now and you guys did not complete my refund for my return, horrible customer service, and a group of unprofessional people who do nothing but waste customers' money and time.",https://twitter.com/ExtonMayasa/status/1694172191640650140
#zara,Shine bright like a diamond! https://t.co/u3d9zrVNfE #zara https://t.co/OrUVQHoGSb,82,44,2023-08-21 18:00:16+00:00,14,8,1,0,0,True,https://twitter.com/ZARA/status/1693684456404746453,@ZARA Quelle horreur cette maigreur extrême! Honte à vous!,https://twitter.com/Liilyska/status/1694160041614483896
#zara,Shine bright like a diamond! https://t.co/u3d9zrVNfE #zara https://t.co/OrUVQHoGSb,82,44,2023-08-21 18:00:16+00:00,14,8,1,0,0,True,https://twitter.com/ZARA/status/1693684456404746453,"@fatih06077 Merhaba Fatih, Zara'ya gösterdiğiniz ilgi için teşekkür ederiz. Sezon esnasında stoklar anlık olarak değişebilmektedir. Yaşamış olduğunuz durum adına üzgünüz. Teşekkürler.",https://twitter.com/ZARA/status/1694022494129176897
#zara,Shine bright like a diamond! https://t.co/u3d9zrVNfE #zara https://t.co/OrUVQHoGSb,82,44,2023-08-21 18:00:16+00:00,14,8,1,0,0,True,https://twitter.com/ZARA/status/1693684456404746453,"@manik1438 Hello, please be advised that as a precautionary measure, we recommend that our customers do not publish personal or order details. Please send a DM to @ZARA_Care confirming your full name and registered email so that we may look into your case. Thank you.",https://twitter.com/ZARA/status/1693878393039724758
#zara,Shine bright like a diamond! https://t.co/u3d9zrVNfE #zara https://t.co/OrUVQHoGSb,82,44,2023-08-21 18:00:16+00:00,14,8,1,0,0,True,https://twitter.com/ZARA/status/1693684456404746453,@ZARA bling bling~😍,https://twitter.com/semir_intl/status/1693820932710965346
#zara,Shine bright like a diamond! https://t.co/u3d9zrVNfE #zara https://t.co/OrUVQHoGSb,82,44,2023-08-21 18:00:16+00:00,14,8,1,0,0,True,https://twitter.com/ZARA/status/1693684456404746453,@solnator7013 @ZARA https://t.co/BaOozHA4zC,https://twitter.com/daisisokay/status/1693715302763131324
#zara,"Comfortably stylish #zara 
https://t.co/u3d9zrVNfE https://t.co/3NVfaVqBdK",74,45,2023-08-21 15:30:05+00:00,4,6,1,0,0,True,https://twitter.com/ZARA/status/1693646662781329464,@ZARA I bet the people in your sweat shops aren't comfortable,https://twitter.com/phaze_monkey/status/1696254084351738138
#zara,"Comfortably stylish #zara 
https://t.co/u3d9zrVNfE https://t.co/3NVfaVqBdK",74,45,2023-08-21 15:30:05+00:00,4,6,1,0,0,True,https://twitter.com/ZARA/status/1693646662781329464,"@somyadixit5 @ZARA @ZARA_Care No Indian should ever patronise ZARA. Republic Day 2022 their systems were down and they forced customers to pay cash in Mumbai at Phoenix Mall in Kurla, Mumbai

Direct insult to our Prime Minister who is promoting digital transactions.

#BoycottZara",https://twitter.com/sunnyfernandes/status/1694048358732882380
#zara,"Comfortably stylish #zara 
https://t.co/u3d9zrVNfE https://t.co/3NVfaVqBdK",74,45,2023-08-21 15:30:05+00:00,4,6,1,0,0,True,https://twitter.com/ZARA/status/1693646662781329464,"@ZARA Fraud brand! The rudest staff, poor quality, yet expensive and pathetic customer service. All they want to do is make money, cheat customers and be disrespectful. No apologies or solutions to customers - just keep sending their automated responses @ZARA_Care @ZARA",https://twitter.com/somyadixit5/status/1693749640246514161
#zara,Simplicity as the ultimate form of sophistication #zara https://t.co/u3d9zrVfq6 https://t.co/Ojek3hSwbC,103,81,2023-08-21 11:24:39+00:00,3,8,1,0,0,True,https://twitter.com/ZARA/status/1693584898819322112,"@ZARA No Indian should ever patronise ZARA. Republic Day 2022 their systems were down and they forced customers to pay cash in Mumbai at Phoenix Mall in Kurla, Mumbai

Direct insult to our Prime Minister who is promoting digital transactions.

#BoycottZara",https://twitter.com/sunnyfernandes/status/1693872101047062962
#zara,Simplicity as the ultimate form of sophistication #zara https://t.co/u3d9zrVfq6 https://t.co/Ojek3hSwbC,103,81,2023-08-21 11:24:39+00:00,3,8,1,0,0,True,https://twitter.com/ZARA/status/1693584898819322112,"@Tina51779120412 Bonjour, merci d'avoir contacté Zara Care. Veuillez nous envoyer un message direct, notre compte de service client. Merci.",https://twitter.com/ZARA/status/1693623541713735838
#zara,Simplicity as the ultimate form of sophistication #zara https://t.co/u3d9zrVfq6 https://t.co/Ojek3hSwbC,103,81,2023-08-21 11:24:39+00:00,3,8,1,0,0,True,https://twitter.com/ZARA/status/1693584898819322112,@ZARA https://t.co/xtA1cfjfib,https://twitter.com/Tina51779120412/status/1693609789673095416
,Denim or printed knit? https://t.co/qfweLhCEb9 https://t.co/l8RG3AaqKA,70,284,2023-06-18 13:00:11+00:00,204,40,1,0,0,True,https://twitter.com/ZARA/status/1670416117775609856,@ZARA @DewiRtu I don't know but it looks good on that lady!,https://twitter.com/Bigcurlyjim/status/1696599427517923392
,Denim or printed knit? https://t.co/qfweLhCEb9 https://t.co/l8RG3AaqKA,70,284,2023-06-18 13:00:11+00:00,204,40,1,0,0,True,https://twitter.com/ZARA/status/1670416117775609856,"@ZARA Fraud brand! Pathetic customer service, poor quality and most disrespectful staff. You should close because all you do is make money, cheat on customers and insult them - no response to complaints, just keep sending their automated messages. @ZARA_Care @ZARA",https://twitter.com/somyadixit5/status/1693750945606180943
,Denim or printed knit? https://t.co/qfweLhCEb9 https://t.co/l8RG3AaqKA,70,284,2023-06-18 13:00:11+00:00,204,40,1,0,0,True,https://twitter.com/ZARA/status/1670416117775609856,"@lijeresas Hello, thanks for the interest in Zara. Please send us a private message with more details of your query, so we can help you in the best way. Thank you.",https://twitter.com/ZARA/status/1693523573472690480
,Denim or printed knit? https://t.co/qfweLhCEb9 https://t.co/l8RG3AaqKA,70,284,2023-06-18 13:00:11+00:00,204,40,1,0,0,True,https://twitter.com/ZARA/status/1670416117775609856,"@Cares_World Hello, please be advised that as a precautionary measure, we recommend that our customers do not publish personal or order details in public. Kindly DM us through our customer service account, Zara Care so that we may assist you further. Thank you.",https://twitter.com/ZARA/status/1693482871757902069
